,AVAXUSDT,AXSUSDT,BTCUSDT,DOGEUSDT,ETHUSDT,LINKUSDT,LTCUSDT,SHIBUSDT,TLMUSDT,UNIUSDT
0,181.66,209.58,82005.6,0.724,5940.89,64.87,500.56,0.000103,0.762,56.023
1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
